division,score,submit_time,team_name,users
全国总决赛,278.1728,2020/05/29,鸽鸽鸽,[]
全国总决赛,298.7242,2020/05/29,小金鱼拉着一小摩托的小火车,[]
全国总决赛,300.2459,2020/05/29,IOT_TEAM,[]
全国总决赛,303.7554,2020/05/29,孤芳自赏,[]
全国总决赛,308.0817,2020/05/29,暴力出奇迹,[]
全国总决赛,310.7817,2020/05/29,2147483647,[]
全国总决赛,318.9518,2020/05/29,前面大佬等等我,[]
全国总决赛,321.5686,2020/05/29,得得得得得得得得得得得得,[]
全国总决赛,324.3789,2020/05/29,小白兔奶糖,[]
全国总决赛,330.2179,2020/05/29,少年队（开始合并/挂机，从我做起）,[]
全国总决赛,332.1522,2020/05/29,扫黑除恶小分队,[]
全国总决赛,338.7619,2020/05/29,#507,[]
全国总决赛,346.612,2020/05/29,守望&静望&观望,[]
全国总决赛,352.9843,2020/05/29,且随疾风前行,[]
全国总决赛,365.3961,2020/05/28,租的服务器能报账吗,[]
全国总决赛,366.5281,2020/05/29,我是一条大锦鲤，大锦鲤！,[]
全国总决赛,424.5463,2020/05/29,好想去冰岛看极光呀,[]
全国总决赛,520.3048,2020/05/29,只想当守门员,[]
全国总决赛,534.0508,2020/05/28,ha,[]
全国总决赛,584.894,2020/05/28,杰尼龟,[]
全国总决赛,664.9505,2020/05/29,黄大佬与严小弟,[]
全国总决赛,879.2775,2020/05/29,花样划水,[]
全国总决赛,893.8322,2020/05/29,一方通行,[]
全国总决赛,909.8489,2020/05/28,助教小分队,[]
全国总决赛,1034.2907,2020/05/29,macrecry,[]
全国总决赛,1133.6795,2020/05/27,wasaiboluoxia,[]
全国总决赛,1452.3075,2020/05/28,NingGeGe_hhh,[]
全国总决赛,1498.9309,2020/05/29,chongchongchong,[]
全国总决赛,1505.6142,2020/05/26,难受,[]
全国总决赛,1842.6667,2020/05/29,软挑老腊肉,[]
全国总决赛,2167.1986,2020/05/29,jluzh-null,[]
