division,score,submit_time,team_name,users
京津东北赛区,0.4915,2020/04/13,WavenZ,['WavenZ']
京津东北赛区,0.6826,2020/04/11,466非线性动力学研究中心,['xcx1040865060']
京津东北赛区,0.6895,2020/04/11,小聂聂最可爱,"['ChenchenBUPT', 'a627665552']"
京津东北赛区,0.7686,2020/04/11,hw4661,['hw55736041']
京津东北赛区,0.787,2020/04/11,hw4662,['moumuyun']
京津东北赛区,0.8188,2020/04/09,ha,"['jiangzite', 'ace-pegasus', 'Herbert_Duan']"
京津东北赛区,1.3011,2020/04/12,小问号,['hw-hellokunpeng']
京津东北赛区,1.7906,2020/04/12,hw38572842,['hw38572842']
京津东北赛区,1.7964,2020/04/12,小问号的朋友,['nCoCn']
京津东北赛区,1.9758,2020/04/12,hw42260600,['hw42260600']
京津东北赛区,2.3302,2020/04/12,XLY,['hw36276009']
京津东北赛区,2.3479,2020/04/11,Chadriy,['Chadriy']
京津东北赛区,2.398,2020/04/11,nia1026,['nia1026']
京津东北赛区,2.7062,2020/04/11,wrndd111,['wrndd111']
京津东北赛区,2.7294,2020/04/10,水沝淼,['NoNameNeeded']
京津东北赛区,2.7498,2020/04/09,skrskr,['wanwanh']
京津东北赛区,2.7619,2020/04/11,hw42248035,['hw42248035']
京津东北赛区,2.762,2020/04/09,hw34847906,['hw34847906']
京津东北赛区,2.7668,2020/04/09,miao_777,['miao_777']
京津东北赛区,2.769,2020/04/09,hw12676125,['hw12676125']
京津东北赛区,2.7704,2020/04/10,hahaha,['hw34590657']
京津东北赛区,2.853,2020/04/09,tianyeebing,['tianyeebing']
京津东北赛区,2.9221,2020/04/12,HIToys,['HIToys']
京津东北赛区,2.9446,2020/04/12,HITOuyangSen,['HITOuyangSen']
京津东北赛区,3.4804,2020/04/11,循环转账二十万,['hw01733592']
京津东北赛区,3.5318,2020/04/11,hw951270,['hw95127065']
京津东北赛区,3.5353,2020/04/12,hw66615868,['hw66615868']
京津东北赛区,3.6135,2020/04/12,hellokun,['hw09005049']
京津东北赛区,3.6552,2020/04/12,hit战队,"['hitxqy', 'hw09137268', 'hw65676934']"
京津东北赛区,3.6592,2020/04/13,Firework,"['hw29932924', 'hw19994293']"
京津东北赛区,3.7273,2020/04/12,hw60259697,['hw60259697']
京津东北赛区,3.7326,2020/04/12,hw41098441,['hw41098441']
京津东北赛区,3.7354,2020/04/13,touchdreamer,['touchdreamer']
京津东北赛区,3.8748,2020/04/12,hw60460127,['hw60460127']
京津东北赛区,3.995,2020/04/11,hw13357095,['hw13357095']
京津东北赛区,4.0583,2020/04/10,hw335188,['hw33518827']
京津东北赛区,4.1457,2020/04/12,则是账号,['hw08034176']
京津东北赛区,4.6441,2020/04/13,吃葡萄不吐葡萄皮,['hw07981607']
京津东北赛区,4.6835,2020/04/11,HITCRT,"['hw00113259', 'hw68456582', 'hw56832007']"
京津东北赛区,4.8367,2020/04/12,flagOY,['hw86230075']
京津东北赛区,4.9874,2020/04/10,hw87824027,['hw87824027']
京津东北赛区,5.818,2020/04/12,zzz,['doubleQ']
京津东北赛区,6.2461,2020/04/12,长方体混凝土移动工程局,"['YvanYan', 'BNChou2020']"
京津东北赛区,6.2819,2020/04/12,dwtenis,['dwtenis']
京津东北赛区,6.498,2020/04/08,哈哈哈,['hw51147637']
京津东北赛区,6.5454,2020/04/12,迪丽热巴哥,"['hw72891303', 'hw51878745']"
京津东北赛区,6.5853,2020/04/12,DQ9999,['DQ9999']
京津东北赛区,6.7066,2020/04/10,三人行,"['hw92044045', 'hw75164499', 'hw70869960']"
京津东北赛区,6.8125,2020/04/11,blindhakoton,['blindhakoton']
京津东北赛区,6.9868,2020/04/12,flagOY2,['mayeye']
京津东北赛区,7.0294,2020/04/12,lcy796796,['lcy796796']
京津东北赛区,7.1228,2020/04/11,hw56315619,['hw56315619']
京津东北赛区,7.2734,2020/04/12,r3o7b2,"['hw07603418', 'hw60020686', 'hw34541241']"
京津东北赛区,7.3306,2020/04/12,guanph001,['guanph001']
京津东北赛区,7.4634,2020/04/11,hw66859095,['hw66859095']
京津东北赛区,8.3844,2020/04/12,蓬松的头发,"['sun_agony710', 'hw53153660', 'hw66050191']"
京津东北赛区,9.1788,2020/04/12,敢为人先,"['hw86039876', 'hw70018403', 'hw13214624']"
京津东北赛区,9.3224,2020/04/09,hw58208901,['hw58208901']
京津东北赛区,9.3787,2020/04/10,aqwzuishuai,['hw33936874']
京津东北赛区,9.4515,2020/04/09,秧歌star,"['hw16382160', 'hw07465741']"
京津东北赛区,9.5434,2020/04/12,hugewave2018,['hugewave2018']
京津东北赛区,9.6003,2020/04/11,NEU_XinYi,['Xinyi999']
京津东北赛区,9.6258,2020/04/09,JNJYan,['JNJYan']
京津东北赛区,9.7142,2020/04/12,qYinan,['qYinan']
成渝赛区,0.3833,2020/04/13,crescent_rose,"['emengdeath', 'kp600168', 'FoolishMe']"
成渝赛区,0.8358,2020/04/12,Pealicx,['Pealicx']
成渝赛区,0.8894,2020/04/12,liangchen,['liangchen']
成渝赛区,1.0367,2020/04/12,Always Debug,['LittleFisher']
成渝赛区,1.0749,2020/04/12,bird-610098971,['bird-610098971']
成渝赛区,1.0792,2020/04/12,hw68958279,['hw68958279']
成渝赛区,1.3147,2020/04/11,少年，你明白了吗？ ,['stepbystep88']
成渝赛区,1.4135,2020/04/13,我永远喜欢陆陆,['hw44393473']
成渝赛区,1.4797,2020/04/10,青年，你明白了吗？,['Yang_Goodman']
成渝赛区,1.5464,2020/04/12,全世界最好的你,"['uestc-gzp', 'hw80262519', 'hw18249531']"
成渝赛区,1.5653,2020/04/12,hw45116091,['hw45116091']
成渝赛区,1.6711,2020/04/11,梁大爷粉丝团,['forgottencsc']
成渝赛区,1.7121,2020/04/12,xiaojiongxiaoxie,['xiaojiongxiaoxie']
成渝赛区,1.7236,2020/04/12,守护最好的鲲鲲,['why___']
成渝赛区,1.733,2020/04/12,不出门勤消毒,['Sw_9661']
成渝赛区,1.7477,2020/04/12,cdeb,['zl_Cheng']
成渝赛区,1.7773,2020/04/12,hw89416826,['hw89416826']
成渝赛区,1.7994,2020/04/12,醉菜,['hw90033937']
成渝赛区,1.8284,2020/04/12,hw75155102,['hw75155102']
成渝赛区,1.8689,2020/04/10,run,['luoxinglin']
成渝赛区,1.869,2020/04/12,Mxylulu,['hw45606062']
成渝赛区,1.91,2020/04/12,prs_nb,['prs_nb']
成渝赛区,1.913,2020/04/11,Verilog天下第一,['hw44905910']
成渝赛区,1.9452,2020/04/12,hf_CTNB,['hf_CTNB']
成渝赛区,1.9772,2020/04/13,a15213038716,['a15213038716']
成渝赛区,1.9787,2020/04/13,hw_2012,['hw_2012']
成渝赛区,2.0357,2020/04/11,守护最好的鹏鹏,['hw51804065']
成渝赛区,2.0522,2020/04/11,hw23655024,['hw23655024']
成渝赛区,2.0614,2020/04/12,开水烫白菜,['ryEROO']
成渝赛区,2.1105,2020/04/12,龙湖边边,"['VergilAlan', 'Exusiai']"
成渝赛区,2.1342,2020/04/12,nia1026,['nia1026']
成渝赛区,2.1524,2020/04/11,xix,['hw01875527']
成渝赛区,2.16,2020/04/11,我是真的菜,['hw06305240']
成渝赛区,2.1687,2020/04/12,hw04037709,['hw04037709']
成渝赛区,2.2255,2020/04/11,hw92174504,['hw92174504']
成渝赛区,2.2422,2020/04/12,hwx709302,['hwx709302']
成渝赛区,2.2546,2020/04/10,ssz1995,['ssz1995']
成渝赛区,2.3368,2020/04/12,IOT team,['hw68137321']
成渝赛区,2.3411,2020/04/10,守护最好的鲲鹏,['lalalahhhh']
成渝赛区,2.3902,2020/04/12,戴口罩勤洗手,['hwAirPlane']
成渝赛区,2.4332,2020/04/11,hw55191524,['hw55191524']
成渝赛区,2.4654,2020/04/11,hahaha,['hw79243283']
成渝赛区,2.4661,2020/04/11,山城盛夏,"['hw13012198', 'Diaoyufeng', 'hw39220229']"
成渝赛区,2.4672,2020/04/13,zjky,['ysh1995']
成渝赛区,2.5124,2020/04/11,voyager3,['voyager3']
成渝赛区,2.5336,2020/04/11,hw46984847,['hw46984847']
成渝赛区,2.57,2020/04/09,同学，你明白了吗？,['stepbystep_7416']
成渝赛区,2.5734,2020/04/12,小曹,['hw21787270']
成渝赛区,2.6258,2020/04/11,gzgywh,['gzgywh']
成渝赛区,2.6631,2020/04/11,zararo,['zararo']
成渝赛区,2.7034,2020/04/12,max写程序,['hw09026011']
成渝赛区,2.7322,2020/04/12,老板，报告我真的憋不出来,['hw42078746']
成渝赛区,2.7359,2020/04/09,lalala,['hw76046311']
成渝赛区,2.7473,2020/04/12,hw71505835,['hw71505835']
成渝赛区,2.7524,2020/04/09,RightHere,['RightHere']
成渝赛区,2.7528,2020/04/09,ssyh,['uestcer']
成渝赛区,2.7556,2020/04/12,Idiots,['sosoIrving']
成渝赛区,2.7565,2020/04/09,COCOAA,['COCOAA']
成渝赛区,2.7689,2020/04/09,MikeZ,['MikeZ']
成渝赛区,2.7701,2020/04/09,Sideoloes,['Sideoloes']
成渝赛区,2.7794,2020/04/11,hw39270116,['hw39270116']
成渝赛区,2.7813,2020/04/11,hw21301727,['hw21301727']
成渝赛区,2.7835,2020/04/11,ccvyang,['ccvyang']
成渝赛区,2.7871,2020/04/10,405菜刀队,"['hw45212568', 'hw25468993', 'Lyonllf']"
西北赛区,0.2485,2020/04/13,Rhodoks,['Rhodoks']
西北赛区,0.2586,2020/04/13,ddd2020,['ddd2020']
西北赛区,0.305,2020/04/12,Diorvh,['Diorvh']
西北赛区,0.4045,2020/04/12,淡黄的长裙蓬松的头发,['XDUls']
西北赛区,0.4233,2020/04/12,队友把我代码交了怎么ban,['chier']
西北赛区,0.508,2020/04/13,一gay窝里giaogiao,['yangzhi__']
西北赛区,0.6373,2020/04/13,前面大佬等等我,"['hw67474509', 'hw01929892', 'smartata']"
西北赛区,0.9611,2020/04/11,hahawang,['hw92500782']
西北赛区,1.0948,2020/04/13,JARen_xidian,['JARen_xidian']
西北赛区,1.1014,2020/04/10,WWC,['hw86049023']
西北赛区,1.1116,2020/04/12,集美们，别害臊，别给我装！,['h15129206513']
西北赛区,1.1433,2020/04/12,hw05073505,['hw05073505']
西北赛区,1.2142,2020/04/12,就当是一场梦，醒了很久还是很感动,['wolfkin']
西北赛区,1.3388,2020/04/13,喜欢我一定很辛苦，其实我全都清楚,['August__']
西北赛区,1.3874,2020/04/11,气s我了，上才艺,['wyf0618']
西北赛区,1.4443,2020/04/12,Forever_m,['Forever_m']
西北赛区,1.5327,2020/04/13,所以暂时将你眼睛闭了起来,['BackToLife']
西北赛区,1.5934,2020/04/12,WRJYDS999,['WRJYDS999']
西北赛区,1.8233,2020/04/13,XDU-抗疫小分队,"['no_O_ne', 'hdongdong123', 'RalphHan']"
西北赛区,1.9821,2020/04/10,kunpengNB,['kunpengNB']
西北赛区,2.0647,2020/04/10,ZVPmaster,['ZVPmaster']
西北赛区,2.1125,2020/04/13,小号1,['hw29589329']
西北赛区,2.1811,2020/04/12,macrecry,['macrecry']
